"Code point","Rank 1","Rank 2","Unicode name","WP43S usage","Should be","Glyph","Replacement","Code point"
"U+0112",116,129,"LATIN CAPITAL LETTER E WITH MACRON",,,"Ē","E","U+0045"
"U+0113",116,130,"LATIN SMALL LETTER E WITH MACRON",,,"ē","E","U+0045"
"U+0114",116,131,"LATIN CAPITAL LETTER E WITH BREVE",,,"Ĕ","E","U+0045"
"U+0115",116,132,"LATIN SMALL LETTER E WITH BREVE",,,"ĕ","E","U+0045"
"U+0116",116,133,"LATIN CAPITAL LETTER E WITH DOT ABOVE",,,"Ė","E","U+0045"
"U+0117",116,134,"LATIN SMALL LETTER E WITH DOT ABOVE",,,"ė","E","U+0045"
"U+0118",116,135,"LATIN CAPITAL LETTER E WITH OGONEK",,,"Ę","E","U+0045"
"U+0119",116,136,"LATIN SMALL LETTER E WITH OGONEK",,,"ę","E","U+0045"
"U+011a",116,137,"LATIN CAPITAL LETTER E WITH CARON",,,"Ě","E","U+0045"
"U+011b",116,138,"LATIN SMALL LETTER E WITH CARON",,,"ě","E","U+0045"
"U+011e",144,148,"LATIN CAPITAL LETTER G WITH BREVE",,,"Ğ","G","U+0047"
"U+011f",144,149,"LATIN SMALL LETTER G WITH BREVE",,,"ğ","G","U+0047"
"U+0127",150,156,"LATIN SMALL LETTER H WITH STROKE",,,"ħ","H","U+0048"
"U+012a",158,170,"LATIN CAPITAL LETTER I WITH MACRON",,,"Ī","I","U+0049"
"U+012b",158,171,"LATIN SMALL LETTER I WITH MACRON",,,"ī","I","U+0049"
"U+012c",158,172,"LATIN CAPITAL LETTER I WITH BREVE",,,"Ĭ","I","U+0049"
"U+012d",158,173,"LATIN SMALL LETTER I WITH BREVE",,,"ĭ","I","U+0049"
"U+012e",158,174,"LATIN CAPITAL LETTER I WITH OGONEK",,,"Į","I","U+0049"
"U+012f",158,175,"LATIN SMALL LETTER I WITH OGONEK",,,"į","I","U+0049"
"U+0130",158,176,"LATIN CAPITAL LETTER I WITH DOT ABOVE",,,"İ","I","U+0049"
"U+0131",158,177,"LATIN SMALL LETTER DOTLESS I",,,"ı","I","U+0049"
"U+0139",187,192,"LATIN CAPITAL LETTER L WITH ACUTE",,,"Ĺ","L","U+004C"
"U+013a",187,193,"LATIN SMALL LETTER L WITH ACUTE",,,"ĺ","L","U+004C"
"U+013d",187,194,"LATIN CAPITAL LETTER L WITH CARON",,,"Ľ","L","U+004C"
"U+013e",187,195,"LATIN SMALL LETTER L WITH CARON",,,"ľ","L","U+004C"
"U+0141",187,196,"LATIN CAPITAL LETTER L WITH STROKE",,,"Ł","L","U+004C"
"U+0142",187,197,"LATIN SMALL LETTER L WITH STROKE",,,"ł","L","U+004C"
"U+0143",203,210,"LATIN CAPITAL LETTER N WITH ACUTE",,,"Ń","N","U+004E"
"U+0144",203,211,"LATIN SMALL LETTER N WITH ACUTE",,,"ń","N","U+004E"
"U+0147",203,212,"LATIN CAPITAL LETTER N WITH CARON",,,"Ň","N","U+004E"
"U+0148",203,213,"LATIN SMALL LETTER N WITH CARON",,,"ň","N","U+004E"
"U+014c",215,234,"LATIN CAPITAL LETTER O WITH MACRON",,,"Ō","O","U+004F"
"U+014d",215,235,"LATIN SMALL LETTER O WITH MACRON",,,"ō","O","U+004F"
"U+014e",215,236,"LATIN CAPITAL LETTER O WITH BREVE",,,"Ŏ","O","U+004F"
"U+014f",215,237,"LATIN SMALL LETTER O WITH BREVE",,,"ŏ","O","U+004F"
"U+0152",215,238,"LATIN CAPITAL LIGATURE OE",,,"Œ","O","U+004F"
"U+0153",215,239,"LATIN SMALL LIGATURE OE",,,"œ","O","U+004F"
"U+0154",250,254,"LATIN CAPITAL LETTER R WITH ACUTE",,,"Ŕ","R","U+0052"
"U+0155",250,255,"LATIN SMALL LETTER R WITH ACUTE",,,"ŕ","R","U+0052"
"U+0158",250,256,"LATIN CAPITAL LETTER R WITH CARON",,,"Ř","R","U+0052"
